,Sqft,Yr Built,V,PP,price,date,address,Br,Ba,LSqft,DOM,year,month,Mor,SFR,CONDO,TWNHS,COMRES,DPLX,COOP,TPLX,MANL,QUAD,STD,TRUS,PRO,NOD,TPAP,CONS,BNKR,REO,AUC
106,1331,1990,False,False,655000,2023-02-15,295 N Chorro    #D,2,3.0,1331.0,7,2023,2,6.12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
366,1284,1948,True,False,1217412,2023-02-14,1890 Hays ST  ,3,1.0,6098.0,8,2023,2,6.12,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
248,1811,2023,True,False,911270,2023-02-08,120 Earthwood LN  ,3,3.0,3900.0,4,2023,2,6.09,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
66,940,1985,True,False,595000,2023-02-08,55 Stenner ST   #B,2,3.0,940.0,11,2023,2,6.09,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
488,3297,1991,True,False,2580000,2023-02-08,808 Greystone PL  ,4,2.0,9244.0,0,2023,2,6.09,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
282,2014,2022,True,False,979000,2023-02-07,955 Forest Street   ,3,3.0,3789.0,24,2023,2,6.09,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
67,1238,1986,True,False,599500,2023-02-03,1185 E Foothill BLVD   #34,2,3.0,1238.0,30,2023,2,6.09,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
284,1746,2016,True,False,988500,2023-02-02,3241 Violet ST  ,3,2.0,6621.0,5,2023,2,6.13,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
395,2185,1999,True,False,1350000,2023-01-26,1372 Cornus CT  ,4,3.0,13514.0,6,2023,1,6.15,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
152,1471,1974,True,False,735000,2023-01-26,3 Los Verdes DR  ,3,2.0,3890.0,13,2023,1,6.15,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
