,Week,FRM30YR
0,1971-04-02 00:00:00,7.33
1,1971-04-09 00:00:00,7.31
2,1971-04-16 00:00:00,7.31
3,1971-04-23 00:00:00,7.31
4,1971-04-30 00:00:00,7.29
5,1971-05-07 00:00:00,7.38
6,1971-05-14 00:00:00,7.42
7,1971-05-21 00:00:00,7.44
8,1971-05-28 00:00:00,7.46
9,1971-06-04 00:00:00,7.52
10,1971-06-11 00:00:00,7.52
11,1971-06-18 00:00:00,7.54
12,1971-06-25 00:00:00,7.54
13,1971-07-02 00:00:00,7.54
14,1971-07-09 00:00:00,7.54
15,1971-07-16 00:00:00,7.6
16,1971-07-23 00:00:00,7.65
17,1971-07-30 00:00:00,7.69
18,1971-08-06 00:00:00,7.66
19,1971-08-13 00:00:00,7.73
20,1971-08-20 00:00:00,7.71
21,1971-08-27 00:00:00,7.69
22,1971-09-03 00:00:00,7.71
23,1971-09-10 00:00:00,7.67
24,1971-09-17 00:00:00,7.7
25,1971-09-24 00:00:00,7.67
26,1971-10-01 00:00:00,7.67
27,1971-10-08 00:00:00,7.63
28,1971-10-15 00:00:00,7.63
29,1971-10-22 00:00:00,7.58
30,1971-10-29 00:00:00,7.63
31,1971-11-05 00:00:00,7.59
32,1971-11-12 00:00:00,7.56
33,1971-11-19 00:00:00,7.54
34,1971-11-26 00:00:00,7.51
35,1971-12-03 00:00:00,7.49
36,1971-12-10 00:00:00,7.47
37,1971-12-17 00:00:00,7.48
38,1971-12-24 00:00:00,7.48
39,1971-12-31 00:00:00,7.48
40,1972-01-07 00:00:00,7.46
41,1972-01-14 00:00:00,7.46
42,1972-01-21 00:00:00,7.43
43,1972-01-28 00:00:00,7.4
44,1972-02-04 00:00:00,7.35
45,1972-02-11 00:00:00,7.33
46,1972-02-18 00:00:00,7.31
47,1972-02-25 00:00:00,7.31
48,1972-03-03 00:00:00,7.32
49,1972-03-10 00:00:00,7.32
50,1972-03-17 00:00:00,7.31
51,1972-03-24 00:00:00,7.31
52,1972-03-31 00:00:00,7.23
53,1972-04-07 00:00:00,7.25
54,1972-04-14 00:00:00,7.29
55,1972-04-21 00:00:00,7.29
56,1972-04-28 00:00:00,7.33
57,1972-05-05 00:00:00,7.33
58,1972-05-12 00:00:00,7.38
59,1972-05-19 00:00:00,7.38
60,1972-05-26 00:00:00,7.4
61,1972-06-02 00:00:00,7.36
62,1972-06-09 00:00:00,7.38
63,1972-06-16 00:00:00,7.38
64,1972-06-23 00:00:00,7.36
65,1972-06-30 00:00:00,7.38
66,1972-07-07 00:00:00,7.38
67,1972-07-14 00:00:00,7.4
68,1972-07-21 00:00:00,7.4
69,1972-07-28 00:00:00,7.4
70,1972-08-04 00:00:00,7.35
71,1972-08-11 00:00:00,7.41
72,1972-08-18 00:00:00,7.42
73,1972-08-25 00:00:00,7.42
74,1972-09-01 00:00:00,7.42
75,1972-09-08 00:00:00,7.42
76,1972-09-15 00:00:00,7.42
77,1972-09-22 00:00:00,7.41
78,1972-09-29 00:00:00,7.43
79,1972-10-06 00:00:00,7.41
80,1972-10-13 00:00:00,7.41
81,1972-10-20 00:00:00,7.44
82,1972-10-27 00:00:00,7.42
83,1972-11-03 00:00:00,7.43
84,1972-11-10 00:00:00,7.42
85,1972-11-17 00:00:00,7.42
86,1972-11-24 00:00:00,7.44
87,1972-12-01 00:00:00,7.45
88,1972-12-08 00:00:00,7.43
89,1972-12-15 00:00:00,7.43
90,1972-12-22 00:00:00,7.45
91,1972-12-29 00:00:00,7.45
92,1973-01-05 00:00:00,7.44
93,1973-01-12 00:00:00,7.44
94,1973-01-19 00:00:00,7.44
95,1973-01-26 00:00:00,7.43
96,1973-02-02 00:00:00,7.43
97,1973-02-09 00:00:00,7.43
98,1973-02-16 00:00:00,7.45
99,1973-02-23 00:00:00,7.45
100,1973-03-02 00:00:00,7.45
101,1973-03-09 00:00:00,7.45
102,1973-03-16 00:00:00,7.45
103,1973-03-23 00:00:00,7.45
104,1973-03-30 00:00:00,7.49
105,1973-04-06 00:00:00,7.51
106,1973-04-13 00:00:00,7.54
107,1973-04-20 00:00:00,7.56
108,1973-04-27 00:00:00,7.56
109,1973-05-04 00:00:00,7.58
110,1973-05-11 00:00:00,7.64
111,1973-05-18 00:00:00,7.69
112,1973-05-24 00:00:00,7.7
113,1973-06-01 00:00:00,7.7
114,1973-06-08 00:00:00,7.73
